OBJECTID,LOCATION,Longtitude,Latitude,INTID
377,"FIFTH AVE, MCMARTIN ST",505132.4742,5450341.155,INT294
378,"EDINBURGH ST, TWENTY-SECOND ST",503429.9643,5449851.478,INT129
379,"COLUMBIA ST, CHURCH ST",506805.9658,5450126.562,INT605
380,"E TENTH AVE, CUMBERLAND ST",506396.4861,5452726.276,INT671
381,"NINTH ST, BELLEVILLE ST",505648.7335,5450552.117,INT360
382,RELIANCE CRT,505935.7752,5449534.637,INT862
383,CLARKSON ST,507162.1589,5450499.298,INT971
384,"TENTH AVE, TENTH ST",504794.4565,5451405.791,INT384
385,"FIFTH AVE, SIXTH ST",505931.7416,5450998.506,INT147
386,"PATTULLO ON-RAMP, LOOP, MCBRIDE BLVD",507312.5516,5451078.657,INT813
387,"EWEN AVE, DAWE ST",503296.2298,5447788.691,INT63
388,"SIXTH AVE, SIXTEENTH ST",504585.4219,5450150.415,INT727
389,"E COLUMBIA ST, MCBRIDE BLVD, COLUMBIA ST",507454.4932,5450931.487,INT815
390,"EDINBURGH ST, THIRTEENTH ST",504617.388,5450846.476,INT285
391,"FOURTH AVE, NINTH ST",505683.4608,5450509.95,INT361
392,MCBRIDE BLVD,507433.1234,5450951.89,INT814
