X,Y,OBJECTID,LOCATION,Longtitude,Latitude,INTID
-13682733.77,6311682.048,220,"SIXTH AVE, SECOND ST",506256.4849,5451530.307,INT176
-13682768.06,6310594.386,221,"FIFTH ST, BLACKFORD ST",506234.8512,5450820.731,INT212
-13681194.25,6312370.14,222,"CUMBERLAND ST, GLENBROOKE DR",507263.04,5451980.382,INT44
-13683127.75,6310948.652,223,"FIFTH AVE, FIFTH ST",505999.26,5451051.59,INT641
-13686709.65,6310056.626,224,"TENTH AVE, NINETEENTH ST",503656.1722,5450467.569,INT834
-13684557.74,6307893.911,225,"BLACKLEY ST, MERCER ST",505065.5146,5449057.447,INT92
-13683881.67,6309455.376,226,"THIRD AVE, LOUELLEN ST",505506.9783,5450076.81,INT122
-13687532.85,6308640.964,227,MARINE DR,503118.0556,5449543.517,INT582
-13681848.19,6311891.866,228,MCBRIDE BLVD,506835.6589,5451667.863,INT599
-13682636.32,6311561.104,229,"REGINA ST, SECOND ST",506320.3245,5451451.485,INT172
-13682660.41,6310463.345,230,"THIRD AVE, FIFTH ST",506305.3809,5450735.319,INT206
-13686102.68,6310558.097,231,"TENTH AVE, SIXTEENTH ST",504053.0885,5450795.02,INT694
-13680221.86,6313616.256,232,"KELLY ST, SHERBROOKE ST",507897.9613,5452794,INT761
-13682326.64,6313489.733,233,"RICKMAN PL, JACKSON CR",506521.4286,5452709.683,INT572
-13682341.53,6312383.287,234,JACK MAHONY PL,506512.5444,5451988.019,INT228
-13682671.38,6309351.2,235,"EIGHTH ST, AGNES ST",506299.0318,5450009.683,INT651
-13681417.93,6312568.711,236,"HARVEY ST, DIXON ST",507116.5517,5452109.711,INT323
-13684614.17,6307934.221,237,BEACH ST,505028.5593,5449083.72,INT797
-13682960.35,6312996.592,238,"COURTNEY CR, MCBRIDE BLVD",506107.3024,5452387.581,INT590
-13686904.16,6305753.19,239,"GALBRAITH AVE, SUZUKI ST",503530.701,5447659.013,INT74
-13684370.61,6309928.883,240,"FIFTH AVE, TWELFTH ST",505186.7415,5450385.45,INT293
-13682622,6309290.95,241,"VICTORIA ST, EIGHTH ST",506331.3914,5449970.407,INT854
-13686605.81,6309930.232,242,"LONDON ST, NINETEENTH ST",503724.1729,5450385.148,INT724
-13685088.02,6309526.17,243,MAYES ST,504717.54,5450122.27,INT22
-13682538.4,6311442.268,244,"FIFTH AVE, SECOND ST",506384.4748,5451374.038,INT423
-13687274.42,6304995.252,245,"SOUTH DYKE RD, DOCKSIDE CRT",503288.6016,5447164.077,INT25
-13685998.46,6310431.911,246,"LONDON ST, SIXTEENTH ST",504121.3422,5450712.745,INT750
-13682567.58,6309224.092,247,"CARNARVON ST, EIGHTH ST",506367.052,5449926.822,INT857
-13683052.67,6313072.344,248,"MCBRIDE BLVD, E TENTH AVE, TENTH AVE",506046.863,5452436.921,INT585
-13681818.74,6310709.826,249,"QUEENS AVE, BONSON ST",506855.8786,5450896.782,INT435
-13681586.68,6312718.398,250,"E SIXTH AVE, FISHER ST",507006.0457,5452207.203,INT497
-13687223.5,6308294.877,251,MARINE WAY,503320.64,5449317.79,INT580
-13682960.45,6312976.292,252,MCBRIDE BLVD,506107.25,5452374.34,INT584
-13682485.22,6311376.44,253,"SECOND ST, ELGIN ST",506419.3117,5451331.136,INT822
-13680900.89,6312026.233,254,MINER ST,507455.2448,5451756.314,INT506
-13684263.26,6309798.166,255,"TWELFTH ST, CAMERON ST",505257.0624,5450300.229,INT301
-13681668.7,6311674.279,256,"BLACKBERRY DR, MCBRIDE BLVD",506953.2524,5451526.075,INT600
-13680744.54,6314108.104,257,"E EIGHTH AVE, BUCHANAN AVE",507555.6607,5453114.281,INT529
-13685741.12,6309040.128,258,"RIVER DR, FIFTH AVE",504290.4242,5449804.776,INT770
-13686503.25,6309805.339,259,"DUBLIN ST, NINETEENTH ST",503791.3408,5450303.707,INT841
-13680994.58,6314359.1,260,"RICHMOND ST, WINTHROP ST",507391.9154,5453277.74,INT754
-13683408.22,6308932.107,261,"ROYAL AVE, COLUMBIA ST",505817.1504,5449735.688,INT905
-13682431.34,6311311.274,262,"ST. PATRICK ST, SECOND ST",506454.614,5451288.666,INT425
-13683829.32,6311595.764,263,"EIGHTH AVE, SIXTH ST",505539.8308,5451473.255,INT456
-13681668.6,6310543.37,264,"PARK ROW, BONSON ST",506954.2522,5450788.309,INT475
-13685895.86,6310307.207,265,"DUBLIN ST, SIXTEENTH ST",504188.5298,5450631.436,INT732
-13684457.58,6307738.116,266,"EWEN AVE, MERCER ST",505131.164,5448955.833,INT91
-13680383.82,6312609.257,267,"BRUNETTE AVE, E COLUMBIA ST, DEBECK ST",507792.9545,5452137.073,INT356
-13686506.39,6306434.286,268,"EWEN AVE, HAMPTON ST",503790.7987,5448103.772,INT909
-13682445.59,6309075.573,269,"COLUMBIA ST, EIGHTH ST",506446.9942,5449830.004,INT858
-13679780.76,6314243.46,270,"WILSON ST, BRAID ST",508185.8499,5453203.452,INT766
-13680062.57,6314527,271,FADER ST,508001.2772,5453388.082,INT768
-13681842.81,6314073.453,272,"E TENTH AVE, CHILLIWACK ST",506837.4074,5453090.746,INT560
-13686831.5,6305636.68,273,"SALTER ST, SUZUKI ST",503578.3168,5447582.988,INT916
-13682377.3,6311245.879,274,"OAKLAND ST, SECOND ST",506490.0165,5451246.048,INT427
-13681571.79,6311556.463,275,MCBRIDE BLVD,507016.7507,5451449.301,INT687
-13686491.88,6308652.588,276,"MARINE WAY, HIGHWAY 91A",503799.3,5449551.53,INT900
-13684154.76,6309666.692,277,"FOURTH AVE, TWELFTH ST",505328.1434,5450214.514,INT298
-13681270.33,6312371.185,278,"CARROL ST, CUMBERLAND ST",507213.274,5451980.998,INT43
-13686400.8,6309680.129,279,"EDINBURGH ST, NINETEENTH ST",503858.4324,5450222.057,INT843
-13681014.61,6313231.15,280,"RICHMOND ST, KEARY ST",507379.8,5452542.12,INT338
-13680341.3,6314794.34,281,"E COLUMBIA ST, NOOTKA ST",507818.75,5453562.15,INT876
-13681522.97,6311496.177,282,MCBRIDE BLVD,507048.7388,5451410.015,INT688
-13683721.12,6311463.743,283,"SIXTH ST, HAMILTON ST",505610.7078,5451387.205,INT153
-13682323.98,6311180.137,284,"SECOND ST, FOURTH AVE",506524.9519,5451203.202,INT428
-13685793.35,6310182.214,285,"EDINBURGH ST, SIXTEENTH ST",504255.6678,5450549.938,INT733
-13685152.98,6307297.78,286,"EWEN AVE, FENTON ST",504676.2649,5448668.047,INT105
